City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,Qaanaaq,77.484,-69.3632,-12.8,62,73,8.34,GL,2022-02-06 15:46:11
172,Adrar,20.5022,-10.0711,84.31,6,0,9.4,MR,2022-02-06 15:46:11
173,Zhezkazgan,47.8043,67.7144,25.61,97,100,14.36,KZ,2022-02-06 15:46:12
174,Santo Antonio Do Ica,-3.1022,-67.9397,80.04,86,92,3.04,BR,2022-02-06 15:46:12
175,Victoria,22.2855,114.1577,62.65,83,100,7.0,HK,2022-02-06 15:44:13
176,Deer Lake,49.1667,-57.4316,10.26,79,75,6.91,CA,2022-02-06 15:46:12
177,Dingle,10.9995,122.6711,75.31,87,42,8.88,PH,2022-02-06 15:46:13
178,Charters Towers,-20.1,146.2667,70.38,76,1,10.63,AU,2022-02-06 15:46:13
179,Lasa,46.6166,10.7002,41.88,79,93,3.51,IT,2022-02-06 15:46:13
180,Ust-Koksa,50.2696,85.6108,-1.23,77,5,1.32,RU,2022-02-06 15:46:14
181,Chipinge,-20.1883,32.6236,65.25,92,65,4.18,ZW,2022-02-06 15:46:14
182,Kushiro,42.975,144.3747,18.01,76,67,6.15,JP,2022-02-06 15:47:14
183,Manoel Urbano,-8.8389,-69.2597,84.43,71,93,4.12,BR,2022-02-06 15:47:15
184,Jalu,29.0331,21.5482,65.12,23,4,3.06,LY,2022-02-06 15:47:15
185,Opuwo,-18.0607,13.84,80.65,28,99,5.82,NA,2022-02-06 15:47:15
186,Japura,-0.3167,102.35,71.91,97,100,2.44,ID,2022-02-06 15:47:15
187,Toora-Khem,52.4675,96.11,-10.82,99,58,0.54,RU,2022-02-06 15:47:16
188,Vega De Alatorre,20.0333,-96.6333,58.96,71,9,4.0,MX,2022-02-06 15:47:16
189,Atbasar,51.8,68.3333,8.44,87,78,10.31,KZ,2022-02-06 15:47:16
190,Rosarito,32.3333,-117.0333,56.25,28,2,5.28,MX,2022-02-06 15:47:17
191,Hambantota,6.1241,81.1185,80.94,89,40,3.44,LK,2022-02-06 15:47:17
192,Thunder Bay,48.4001,-89.3168,13.55,78,100,5.75,CA,2022-02-06 15:47:17
193,Miyakonojo,31.7333,131.0667,33.44,69,16,2.26,JP,2022-02-06 15:47:18
194,Mango,27.9797,-82.3065,61.86,93,100,5.75,US,2022-02-06 15:47:18
195,Pavino,59.1139,46.1414,10.51,99,95,2.68,RU,2022-02-06 15:47:18
196,Cherskiy,68.75,161.3,-30.37,100,37,1.45,RU,2022-02-06 15:47:19
197,Togur,58.3631,82.8265,16.84,88,100,6.96,RU,2022-02-06 15:47:19
198,Tadine,-21.55,167.8833,79.32,85,68,6.98,NC,2022-02-06 15:47:19
199,Saint-Philippe,-21.3585,55.7679,80.19,80,99,16.64,RE,2022-02-06 15:47:20
200,Beroroha,-21.6667,45.1667,75.56,87,100,14.09,MG,2022-02-06 15:47:20
201,Airai,-8.9266,125.4092,61.97,93,73,1.23,TL,2022-02-06 15:45:41
202,Puerto Ayora,-0.7393,-90.3518,80.56,87,70,3.0,EC,2022-02-06 15:47:20
203,Fort Thomas,39.0751,-84.4472,31.78,77,0,1.01,US,2022-02-06 15:47:21
204,Puerto Carreno,6.189,-67.4859,87.78,51,0,4.61,CO,2022-02-06 15:47:21
205,Myitkyina,25.3833,97.4,53.8,85,1,3.42,MM,2022-02-06 15:47:21
206,Salym,60.0625,71.4789,16.2,93,99,6.49,RU,2022-02-06 15:47:22
207,Sakakah,29.9697,40.2064,56.77,45,6,8.61,SA,2022-02-06 15:47:22
208,Ranot,7.7777,100.3213,79.86,77,80,7.56,TH,2022-02-06 15:47:22
209,Prieska,-29.6641,22.7474,87.76,27,86,8.03,ZA,2022-02-06 15:47:23
210,Virginia Beach,36.8529,-75.978,38.01,73,75,3.0,US,2022-02-06 15:46:50
211,Albany,42.6001,-73.9662,20.82,56,17,3.0,US,2022-02-06 15:45:09
212,Wajir,1.7471,40.0573,94.96,29,75,0.0,KE,2022-02-06 15:47:23
213,Taoudenni,22.6783,-3.9836,82.04,7,100,7.74,ML,2022-02-06 15:47:24
214,Qovlar,40.948,45.735,38.25,34,82,1.43,AZ,2022-02-06 15:47:24
215,Paamiut,61.994,-49.6678,4.69,75,100,8.34,GL,2022-02-06 15:47:24
216,Upernavik,72.7868,-56.1549,-6.72,93,100,4.76,GL,2022-02-06 15:47:25
217,Erzin,36.9559,36.2,54.12,80,65,1.59,TR,2022-02-06 15:47:25
218,Faya,18.3851,42.4509,57.31,67,5,5.59,SA,2022-02-06 15:47:25
219,Cardston,49.2,-113.3019,39.29,45,100,17.27,CA,2022-02-06 15:47:25
220,Port Alfred,-33.5906,26.891,77.52,78,0,31.41,ZA,2022-02-06 15:47:26
221,Kondinskoye,59.6481,67.41,13.86,96,100,9.35,RU,2022-02-06 15:47:26
222,Brae,60.3964,-1.353,35.51,65,100,27.56,GB,2022-02-06 15:47:26
223,Monrovia,6.3005,-10.7969,83.97,65,49,13.85,LR,2022-02-06 15:45:49
224,Mitsamiouli,-11.3847,43.2844,84.49,79,20,5.75,KM,2022-02-06 15:47:27
225,Acarau,-2.8856,-40.12,85.91,62,40,14.61,BR,2022-02-06 15:47:27
226,Clyde River,70.4692,-68.5914,-34.37,67,0,6.91,CA,2022-02-06 15:47:27
227,Severo-Kurilsk,50.6789,156.125,30.11,85,100,12.35,RU,2022-02-06 15:48:28
228,Caravelas,-17.7125,-39.2481,87.06,54,0,10.25,BR,2022-02-06 15:48:28
229,Balakhninskiy,58.0106,114.2769,0.27,100,100,0.25,RU,2022-02-06 15:48:28
230,Zhigansk,66.7697,123.3711,-28.41,99,99,6.51,RU,2022-02-06 15:48:29
231,Bengkulu,-3.8004,102.2655,77.0,83,98,7.43,ID,2022-02-06 15:48:29
232,Kalangala,-0.3089,32.225,78.15,62,92,10.33,UG,2022-02-06 15:48:29
233,Fort-Shevchenko,44.5086,50.263,35.11,62,94,14.27,KZ,2022-02-06 15:48:30
234,Goderich,43.7501,-81.7165,23.92,79,100,21.85,CA,2022-02-06 15:45:23
235,Agudos,-22.4692,-48.9875,80.85,72,75,9.22,BR,2022-02-06 15:48:30
236,Concepcion Del Uruguay,-32.4825,-58.2372,72.82,49,0,8.01,AR,2022-02-06 15:48:31
237,Mar Del Plata,-38.0023,-57.5575,68.09,100,75,4.0,AR,2022-02-06 15:44:31
238,Port Blair,11.6667,92.75,80.64,83,20,5.75,IN,2022-02-06 15:48:31
239,Honiara,-9.4333,159.95,78.91,89,99,0.94,SB,2022-02-06 15:48:31
240,Kaspiyskiy,45.3929,47.3707,33.35,62,100,6.6,RU,2022-02-06 15:48:32
241,Constitucion,-35.3333,-72.4167,73.13,51,2,6.04,CL,2022-02-06 15:46:28
242,Fort Nelson,58.8053,-122.7002,8.19,85,20,6.91,CA,2022-02-06 15:45:23
243,Sinnamary,5.3833,-52.95,82.26,74,89,8.77,GF,2022-02-06 15:48:32
244,Waipawa,-41.4122,175.5153,56.44,80,100,10.6,NZ,2022-02-06 15:48:32
245,Sambava,-14.2667,50.1667,79.75,80,27,9.55,MG,2022-02-06 15:48:33
246,Geraldton,-28.7667,114.6,69.13,49,75,16.11,AU,2022-02-06 15:48:33
247,Bardiyah,31.7561,25.0865,61.57,51,0,9.37,LY,2022-02-06 15:48:33
248,Tiksi,71.6872,128.8694,-17.59,99,100,3.33,RU,2022-02-06 15:48:33
249,Lazaro Cardenas,17.9583,-102.2,80.74,45,4,1.3,MX,2022-02-06 15:45:44
250,Carauari,-4.8828,-66.8958,76.64,89,98,1.14,BR,2022-02-06 15:48:34
251,Akita,39.7167,140.1167,29.12,78,100,13.67,JP,2022-02-06 15:45:48
252,Komsomolskiy,40.4272,71.7189,41.72,81,75,9.22,UZ,2022-02-06 15:48:34
253,The Valley,18.217,-63.0578,76.86,88,75,14.97,AI,2022-02-06 15:48:34
254,Casablanca,33.5928,-7.6192,66.42,72,0,11.01,MA,2022-02-06 15:45:48
255,Padang,-0.9492,100.3543,78.51,74,100,1.79,ID,2022-02-06 15:48:35
256,Oksfjord,70.2396,22.3479,32.18,83,24,14.27,NO,2022-02-06 15:48:35
257,Noumea,-22.2763,166.4572,76.98,90,100,3.51,NC,2022-02-06 15:48:36
258,Morant Bay,17.8815,-76.4093,82.02,54,6,9.13,JM,2022-02-06 15:48:36
259,Rapina,58.0981,27.4636,34.09,96,100,13.44,EE,2022-02-06 15:48:36
260,Hohhot,40.8106,111.6522,12.49,44,0,6.71,CN,2022-02-06 15:48:36
261,Shingu,33.7333,135.9833,39.9,70,6,6.69,JP,2022-02-06 15:48:37
262,Oktyabrskiy,54.4815,53.471,10.15,99,100,1.41,RU,2022-02-06 15:48:37
263,San Patricio,28.017,-97.5169,53.89,70,0,5.37,US,2022-02-06 15:48:37
